"Loja","Iteracao","MAE_mlpe","NMAE_mlpe","RMSE_mlpe","RRSE_mlpe","MAE_naive","NMAE_naive","RMSE_naive","RRSE_naive"
"Philadelphia",1,40.7787012406912,2.40866516483705,49.5673080709491,74.8983833442523,21.5714285714286,1.27415407982449,24.9198715887542,37.6550223883949
"Philadelphia",2,45.0224366809995,2.65932880572944,61.5254713944599,97.9188665856105,24.7142857142857,1.45979242258037,29.6141857899217,47.1314959752741
"Philadelphia",3,52.3609675379763,3.09279193963239,72.9479473786614,98.9566772015758,20.1428571428571,1.18977301493545,23.1300670124408,31.3768194616872
"Philadelphia",4,51.9158625103225,3.06650103427776,57.5664736389669,69.0223656281712,53,3.13053750738334,62.1254491216879,74.488590198947
"Philadelphia",5,72.7079416175954,4.29462147770794,97.926160367432,153.558995007461,32.9285714285714,1.94498354569235,46.4331316441796,72.8122598044873
"Philadelphia",6,58.9535647501352,3.48219520083492,61.1347121944169,93.9796649065359,32.3571428571429,1.91123111973673,39.2978552668136,60.4108392262615
"Philadelphia",7,61.2869250736645,3.62001920104338,70.0954190724405,98.9020744042342,12,0.708800945067927,14.9379669681941,21.0769254266031
"Philadelphia",8,31.877137880495,1.88287878797962,52.2582381544833,79.8288184984252,21.1428571428571,1.24883976035778,24.1009780477296,36.8162546260981
"Philadelphia",9,148.022176179279,8.74318819724034,352.050418745686,87.8239187408015,165,9.74601299468399,387.348680131997,96.629565530622
"Philadelphia",10,78.2449591748683,4.62167508416233,107.99926308073,27.0848102628044,413.857142857143,24.4451944983546,603.73752575105,151.409517686051
"Philadelphia",11,28.7535868070662,1.69838079191176,49.8835663198176,117.429001460935,264.571428571429,15.62737321745,470.771706881372,1108.22572509571
"Philadelphia",12,21.123437412481,1.24769270008748,25.8162181205941,49.8459859471393,11.7142857142857,0.691924732090119,15.5379719213471,30.0007354454708
"Baltimore",1,14.2410297425535,1.30891817486705,16.3940451551137,55.4381531438569,9.42857142857143,0.866596638655462,10.7570574840095,36.3760984267984
"Baltimore",2,8.12000654870182,0.746324131314505,9.80379735752019,35.2818408129517,11.2857142857143,1.03728991596639,13.474844287465,48.4931801211675
"Baltimore",3,13.3976897297949,1.23140530604732,15.4077819589112,47.4242541086797,8.71428571428571,0.80094537815126,10.035650736962,30.8891475726254
"Baltimore",4,17.6726566830869,1.62432506278372,24.568777665254,67.6568159514398,23,2.11397058823529,26.9576387266074,74.2351950374341
"Baltimore",5,25.3014939761665,2.32550496104472,37.7784024997957,124.446846842286,16.7142857142857,1.53623949579832,21.983760239907,72.41729301836
"Baltimore",6,25.0626045053367,2.30354820821109,26.5679104107024,93.8145530766228,18.8571428571429,1.73319327731092,20.9420970433104,73.9491154642703
"Baltimore",7,18.1808156682874,1.67103085186465,20.2434144281415,66.1301918432906,5.28571428571429,0.485819327731092,6.66547608416469,21.7744498457687
"Baltimore",8,17.153997480068,1.57665418015331,18.8444930836971,67.0249232489265,8.71428571428571,0.80094537815126,9.9498743710662,35.3890955355077
"Baltimore",9,69.3818023326881,6.37700389087207,171.345711170102,100.134088968643,70.2857142857143,6.46008403361345,165.082663275965,96.4739763765989
"Baltimore",10,19.2116879963492,1.76578014672327,27.6982860795913,16.2784136762377,176.714285714286,16.2421218487395,257.598524840497,151.391870879401
"Baltimore",11,19.2605026697114,1.77026678949554,25.5962075409447,141.587120939579,113,10.3860294117647,201.139965482461,1112.61906956302
"Baltimore",12,14.8521902547173,1.36509101605858,16.1228373587245,74.6777910642727,4.71428571428571,0.433298319327731,6.29058253037257,29.1367330342462
"Richmond",1,8.20337092171367,1.37640451706605,11.0739235995556,58.9048012922991,6.14285714285714,1.03068072866731,7.24075765569954,38.5152910872339
"Richmond",2,12.0782371085236,2.02654985042342,15.7512955604421,89.2208513711903,7,1.1744966442953,8.67673407946298,49.1480588831882
"Richmond",3,5.40257941916811,0.906473056907402,6.73108119540145,32.4447610140238,5.71428571428571,0.958772770853308,6.56832224718437,31.6602399208293
"Richmond",4,10.5570082319657,1.77131010603451,15.5894347022837,66.294242939509,14.8571428571429,2.4928092042186,17.4928556845359,74.388561651085
"Richmond",5,22.3317551971525,3.74693879146854,32.0366418099236,173.670129051046,9.42857142857143,1.58197507190796,13.2017314881691,71.5663778011023
"Richmond",6,15.3984404320372,2.58363094497268,18.5975066429267,101.686496804183,10.7142857142857,1.79769894534995,11.8983792413685,65.0573502100372
"Richmond",7,9.37176404637135,1.5724436319415,10.7863387062452,54.2930023982266,3.28571428571429,0.551294343240652,4.2928512003762,21.6080531925358
"Richmond",8,6.87684633146077,1.15383327709073,8.2253647341371,45.3240123537396,6,1.00671140939597,6.71884343788848,37.0226674226194
"Richmond",9,42.1083561412218,7.0651604263795,104.895696112825,94.3003615625597,45.8571428571429,7.69415148609779,107.536704697247,96.6746063946155
"Richmond",10,9.43243051770686,1.58262257008504,14.3525436790524,12.9574516937176,115,19.2953020134228,167.749387906058,151.443858249031
"Richmond",11,14.000770148287,2.34912250810184,18.4864525354588,156.903743830119,73.5714285714286,12.3441994247363,130.799191784309,1110.15798415337
"Richmond",12,7.06222779882786,1.1849375501389,8.30797436915977,57.8099949970032,3.42857142857143,0.575263662511985,4.44007721940573,30.8957190326662
"Lancaster",1,26.1005803299558,1.40174974919204,31.7867991394107,86.2082923586823,11.4285714285714,0.613779346324996,13.1583759310508,35.6865475587646
"Lancaster",2,36.1300531838255,1.94038953726238,37.0158440234308,108.079276412437,14.1428571428571,0.759551941077183,16.9242007618845,49.4154711438011
"Lancaster",3,19.2703707759386,1.03492861310089,21.2508205008729,52.6510455258571,10.5714285714286,0.567745895350621,12.3056316956332,30.4884404159641
"Lancaster",4,9.69094944087286,0.520459153645159,11.5596462042944,25.7665147986871,28,1.50375939849624,32.6890108227739,72.8639844363526
"Lancaster",5,30.8687262092085,1.65782632702516,34.8724687527253,76.0780060446376,27.4285714285714,1.47307043117999,37.1098754665501,80.959147173637
"Lancaster",6,35.1682836369825,1.88873703743193,37.5963690465824,109.581905405553,29.8571428571429,1.60349854227405,37.8247840141128,110.247665105223
"Lancaster",7,26.1436370397747,1.4040621396227,29.5440013726776,79.3831686629521,6.42857142857143,0.34525088230781,8.13282590142302,21.8524729299583
"Lancaster",8,15.649389003057,0.84046127835967,19.5579898476832,57.8388562609203,10.5714285714286,0.567745895350621,11.9043809462855,35.2048336147904
"Lancaster",9,88.5001021271986,4.75295929791614,203.334794506083,98.7707851843463,84.8571428571428,4.5573116464631,198.787036082049,96.5616912048248
"Lancaster",10,74.1743681037987,3.98358582727168,84.3563581487541,41.1825847942193,213,11.4393125671321,310.11173101688,151.395851344887
"Lancaster",11,33.6828142994503,1.8089588775215,47.2733027173515,218.340091248622,136.142857142857,7.31164646309652,242.067582062767,1118.03184710677
"Lancaster",12,14.982980757879,0.804671361862459,17.4758176888538,67.1619866771933,6,0.322234156820623,7.74596669241483,29.7688223269666
