"Loja","Cenario","Iteracao","NMAE_mlpe","RRSE_mlpe","R2_mlpe","NMAE_naive","RRSE_naive","R2_naive"
"Philadelphia","C1_exo",1,2.65611414922434,87.7769268420331,0.229521111416837,1.27415407982449,37.6550223883949,0.858209928892948
"Philadelphia","C1_exo",2,2.31196597284008,79.58812031581,0.366573110459615,1.45979242258037,47.1314959752741,0.777862208713272
"Philadelphia","C1_exo",3,2.82923633997703,88.9219726313534,0.209288278334883,1.18977301493545,31.3768194616872,0.901549520046869
"Philadelphia","C1_exo",4,3.21619414828047,81.7018735060015,0.332480386560932,3.13053750738334,74.488590198947,0.445144993017333
"Philadelphia","C1_exo",5,4.33186637420618,173.451937616271,-2.00855746628386,3.7929288667623,157.124592223699,-1.46881374814636
"Philadelphia","C1_exo",6,2.78773947733913,100.417329617397,-0.00836400874890453,1.91123111973673,60.4108392262615,0.635053050397878
"Philadelphia","C1_exo",7,3.54058401521458,96.0535520087152,0.0773715146509036,0.708800945067927,21.0769254266031,0.955576321456141
"Philadelphia","C1_exo",8,3.17057652179512,94.8568424400551,0.100217944230257,1.24883976035778,36.8162546260981,0.864456339530631
"Philadelphia","C1_exo",9,4.09730908375115,26.7339620359325,0.928529527386132,9.74601299468399,96.629565530622,0.0662727065363226
"Philadelphia","C1_exo",10,11.250116013687,61.6360490514081,0.620099745733241,24.4451944983546,151.409517686051,-1.29248420459225
"Philadelphia","C1_exo",11,1.93172730937789,96.0914966012495,0.0766424280932064,15.62737321745,1108.22572509571,-121.81642577639
"Philadelphia","C1_exo",12,1.97652600331504,84.2671815124251,0.2899042119952,0.691924732090119,30.0007354454708,0.909995587273087
"Baltimore","C1_exo",1,1.47488227846122,73.9853841220962,0.452616293630588,0.866596638655462,36.3760984267984,0.867677946324387
"Baltimore","C1_exo",2,2.69585796372233,124.697584353693,-0.554948754364629,1.03728991596639,48.4931801211675,0.7648411481736
"Baltimore","C1_exo",3,1.83971974608177,85.6865273903637,0.265781902378045,0.80094537815126,30.8891475726254,0.904586056223657
"Baltimore","C1_exo",4,1.98796866471748,79.3989736705252,0.369580298006724,2.11397058823529,74.2351950374341,0.448913581775412
"Baltimore","C1_exo",5,2.97825072018791,178.76827756517,-2.19580970636176,2.9936974789916,178.648085997374,-2.19151386305253
"Baltimore","C1_exo",6,1.91548463329818,89.1130844814723,0.205885817419798,1.73319327731092,73.9491154642703,0.453152832205201
"Baltimore","C1_exo",7,2.80263873357343,121.554459430668,-0.477548660748186,0.485819327731092,21.7744498457687,0.95258733339141
"Baltimore","C1_exo",8,2.9152627787041,124.093945359809,-0.539930727496326,0.80094537815126,35.3890955355077,0.874761191717871
"Baltimore","C1_exo",9,1.76445376929675,15.8063335836153,0.975015981864347,6.46008403361345,96.4739763765989,0.0692771882087433
"Baltimore","C1_exo",10,7.65665435385518,60.3028857341703,0.63635619721316,16.2421218487395,151.391870879401,-1.29194985683653
"Baltimore","C1_exo",11,1.17415099654314,83.3675810812676,0.304984642465827,10.3860294117647,1112.61906956302,-122.792119395529
"Baltimore","C1_exo",12,1.02152254623085,64.2302518090031,0.587447475255205,0.433298319327731,29.1367330342462,0.915105078809107
"Richmond","C1_exo",1,1.60128209504629,66.7767480243031,0.554086592329873,1.03068072866731,38.5152910872339,0.851657235246564
"Richmond","C1_exo",2,2.13872661195612,104.671962886833,-0.0956219814582564,1.1744966442953,49.1480588831882,0.758446830801467
"Richmond","C1_exo",3,2.12672311171121,85.9638871082796,0.261021011323496,0.958772770853308,31.6602399208293,0.899762920815552
"Richmond","C1_exo",4,2.83805465410889,90.7719806111231,0.17604475359339,2.4928092042186,74.388561651085,0.446634189548273
"Richmond","C1_exo",5,3.29812415867508,175.344083415046,-2.07455475886627,3.28379674017258,172.804690205963,-1.98614609571788
"Richmond","C1_exo",6,2.47879850098893,98.3784782631427,0.0321675014628355,1.79769894534995,65.0573502100372,0.576754118364857
"Richmond","C1_exo",7,2.272958071426,91.2987031551186,0.166454680219354,0.551294343240652,21.6080531925358,0.953309203722854
"Richmond","C1_exo",8,2.11377832022321,75.5241151620042,0.429610802899633,1.00671140939597,37.0226674226194,0.862932209691412
"Richmond","C1_exo",9,2.85630496702184,25.4619163079903,0.93516908179249,7.69415148609779,96.6746063946155,0.065402047844617
"Richmond","C1_exo",10,10.3844452767908,64.693152818433,0.581479597841087,19.2953020134228,151.443858249031,-1.29352422013526
"Richmond","C1_exo",11,2.06523261948394,129.439926494199,-0.675469457082351,12.3441994247363,1110.15798415337,-122.245074977948
"Richmond","C1_exo",12,1.44897615917846,77.2846036229955,0.402709004283647,0.575263662511985,30.8957190326662,0.904545454545455
"Lancaster","C1_exo",1,1.71039444806749,111.096374941818,-0.234240452521311,0.613779346324996,35.6865475587646,0.872647032333604
"Lancaster","C1_exo",2,1.29297796912982,89.450517776421,0.199860486953018,0.759551941077183,49.4154711438011,0.755811121163616
"Lancaster","C1_exo",3,1.55418320563112,88.5921718286521,0.215142709068258,0.567745895350621,30.4884404159641,0.90704550010022
"Lancaster","C1_exo",4,1.86505620331829,93.8628064383072,0.118977356752488,1.50375939849624,72.8639844363526,0.469083977205897
"Lancaster","C1_exo",5,2.56899986738813,179.915024867299,-2.2369416173001,2.52416756176155,180.396192029228,-2.2542786098646
"Lancaster","C1_exo",6,2.05390914053311,132.156703222801,-0.746539420671963,1.60349854227405,110.247665105223,-0.21545476611533
"Lancaster","C1_exo",7,2.10916473803682,122.250664411284,-0.494522494900041,0.34525088230781,21.8524729299583,0.952246942684544
"Lancaster","C1_exo",8,1.4613598830605,89.8294200517482,0.193067529316659,0.567745895350621,35.2048336147904,0.876061969015492
"Lancaster","C1_exo",9,3.22372295268209,58.1032434463425,0.662401310101505,4.5573116464631,96.5616912048248,0.0675839791664058
"Lancaster","C1_exo",10,12.2012572126037,173.805007052185,-2.02081804764101,11.4393125671321,151.395851344887,-1.2920703804443
"Lancaster","C1_exo",11,0.676251717069556,66.2853482476047,0.560625260769377,7.31164646309652,1118.03184710677,-123.999521114497
"Lancaster","C1_exo",12,1.25172262725245,100.11532605042,-0.00230785101819841,0.322234156820623,29.7688223269666,0.911381721726549
"Philadelphia","C2_exo_sales",1,1.41759105899482,50.7278320546375,0.742668705503649,1.27415407982449,37.6550223883949,0.858209928892948
"Philadelphia","C2_exo_sales",2,1.35497697999168,54.543576640554,0.702499824725601,1.45979242258037,47.1314959752741,0.777862208713272
"Philadelphia","C2_exo_sales",3,1.57266658625345,46.0270390424158,0.788151167698793,1.18977301493545,31.3768194616872,0.901549520046869
"Philadelphia","C2_exo_sales",4,3.77094801000619,97.393136930541,0.0514576878828885,3.13053750738334,74.488590198947,0.445144993017333
"Philadelphia","C2_exo_sales",5,3.20977867556573,145.860616519886,-1.12753194515613,3.7929288667623,157.124592223699,-1.46881374814636
"Philadelphia","C2_exo_sales",6,1.77467168484424,53.1129750558208,0.717901188071976,1.91123111973673,60.4108392262615,0.635053050397878
"Philadelphia","C2_exo_sales",7,1.70261846261041,48.8626166139353,0.761244469763957,0.708800945067927,21.0769254266031,0.955576321456141
"Philadelphia","C2_exo_sales",8,1.24827864875404,37.5260675195734,0.859179425651642,1.24883976035778,36.8162546260981,0.864456339530631
"Philadelphia","C2_exo_sales",9,1.62369643894917,9.01957185641984,0.991864732352688,9.74601299468399,96.629565530622,0.0662727065363226
"Philadelphia","C2_exo_sales",10,4.42744928917577,24.4860340549375,0.940043413626044,24.4451944983546,151.409517686051,-1.29248420459225
"Philadelphia","C2_exo_sales",11,3.52239997273979,162.741844231571,-1.64849078638928,15.62737321745,1108.22572509571,-121.81642577639
"Philadelphia","C2_exo_sales",12,1.73990118452758,79.5012092748752,0.36795577238325,0.691924732090119,30.0007354454708,0.909995587273087
"Baltimore","C2_exo_sales",1,1.06136033982164,45.1655624920949,0.796007196477267,0.866596638655462,36.3760984267984,0.867677946324387
"Baltimore","C2_exo_sales",2,0.85261512197059,53.002680226022,0.719071588885806,1.03728991596639,48.4931801211675,0.7648411481736
"Baltimore","C2_exo_sales",3,0.773352201705188,30.0246475989923,0.909852053655632,0.80094537815126,30.8891475726254,0.904586056223657
"Baltimore","C2_exo_sales",4,2.59485492692007,95.7511268856016,0.0831721700137414,2.11397058823529,74.2351950374341,0.448913581775412
"Baltimore","C2_exo_sales",5,2.57942914701326,169.742613974924,-1.881255499904,2.9936974789916,178.648085997374,-2.19151386305253
"Baltimore","C2_exo_sales",6,1.67308535382926,66.9663931667661,0.55155021862341,1.73319327731092,73.9491154642703,0.453152832205201
"Baltimore","C2_exo_sales",7,1.38076749654276,53.2331249591005,0.716623440708879,0.485819327731092,21.7744498457687,0.95258733339141
"Baltimore","C2_exo_sales",8,0.785382647036056,37.0206103194329,0.86294744115767,0.80094537815126,35.3890955355077,0.874761191717871
"Baltimore","C2_exo_sales",9,2.32735818739535,25.6666939888585,0.934122081968229,6.46008403361345,96.4739763765989,0.0692771882087433
"Baltimore","C2_exo_sales",10,1.8458592513294,16.0398652430561,0.97427227229846,16.2421218487395,151.391870879401,-1.29194985683653
"Baltimore","C2_exo_sales",11,1.5124149563348,107.575685066954,-0.157252801762449,10.3860294117647,1112.61906956302,-122.792119395529
"Baltimore","C2_exo_sales",12,0.545059224114307,37.844902835583,0.856776332936528,0.433298319327731,29.1367330342462,0.915105078809107
"Richmond","C2_exo_sales",1,1.24153422229358,45.6773175265671,0.791358266357716,1.03068072866731,38.5152910872339,0.851657235246564
"Richmond","C2_exo_sales",2,0.927381903808508,41.9028710913436,0.824414939430224,1.1744966442953,49.1480588831882,0.758446830801467
"Richmond","C2_exo_sales",3,1.15284766130797,40.248721535884,0.838004041472687,0.958772770853308,31.6602399208293,0.899762920815552
"Richmond","C2_exo_sales",4,2.40972204023334,76.8663540855778,0.409156360959058,2.4928092042186,74.388561651085,0.446634189548273
"Richmond","C2_exo_sales",5,2.75850066738777,161.882909572924,-1.62060764117953,3.28379674017258,172.804690205963,-1.98614609571788
"Richmond","C2_exo_sales",6,2.0229545472326,71.6265187895157,0.486964180609515,1.79769894534995,65.0573502100372,0.576754118364857
"Richmond","C2_exo_sales",7,1.35747054948705,44.3015841125099,0.803736964512221,0.551294343240652,21.6080531925358,0.953309203722854
"Richmond","C2_exo_sales",8,0.821553195748755,31.8774244835986,0.898382980829247,1.00671140939597,37.0226674226194,0.862932209691412
"Richmond","C2_exo_sales",9,1.40738774403958,8.62106210139228,0.992567728824394,7.69415148609779,96.6746063946155,0.065402047844617
"Richmond","C2_exo_sales",10,3.62854671440317,25.2111966225253,0.936439556486037,19.2953020134228,151.443858249031,-1.29352422013526
"Richmond","C2_exo_sales",11,4.33583994869625,333.833900312162,-10.1445072997631,12.3441994247363,1110.15798415337,-122.245074977948
"Richmond","C2_exo_sales",12,1.22373977778347,68.6414231304382,0.528835503062814,0.575263662511985,30.8957190326662,0.904545454545455
"Lancaster","C2_exo_sales",1,0.734827298362507,41.5269983694825,0.8275508406421,0.613779346324996,35.6865475587646,0.872647032333604
"Lancaster","C2_exo_sales",2,0.617317813636129,39.3074471115078,0.845492460157601,0.759551941077183,49.4154711438011,0.755811121163616
"Lancaster","C2_exo_sales",3,0.667954129991938,45.6181793391334,0.791898171378266,0.567745895350621,30.4884404159641,0.90704550010022
"Lancaster","C2_exo_sales",4,1.95443443350494,103.997682969925,-0.0815518063113001,1.50375939849624,72.8639844363526,0.469083977205897
"Lancaster","C2_exo_sales",5,2.23182962750329,174.832904122055,-2.05665443637517,2.52416756176155,180.396192029228,-2.2542786098646
"Lancaster","C2_exo_sales",6,1.00094432886896,63.1464911797185,0.601252065168973,1.60349854227405,110.247665105223,-0.21545476611533
"Lancaster","C2_exo_sales",7,1.65736087976986,97.9161136665208,0.0412434684444982,0.34525088230781,21.8524729299583,0.952246942684544
"Lancaster","C2_exo_sales",8,0.561300470210747,41.2491709966938,0.829850589208551,0.567745895350621,35.2048336147904,0.876061969015492
"Lancaster","C2_exo_sales",9,0.993887150750978,14.4760369805721,0.979044435333711,4.5573116464631,96.5616912048248,0.0675839791664058
"Lancaster","C2_exo_sales",10,1.82599284675426,27.5226520286995,0.924250362530712,11.4393125671321,151.395851344887,-1.2920703804443
"Lancaster","C2_exo_sales",11,2.12575181115032,231.765499884655,-4.3715246936784,7.31164646309652,1118.03184710677,-123.999521114497
"Lancaster","C2_exo_sales",12,0.841413471674952,76.9551010833695,0.407791241724838,0.322234156820623,29.7688223269666,0.911381721726549
