"Loja","Iteracao","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","NMAE_rf","RRSE_rf","R2_rf","NMAE_naive","RRSE_naive","R2_naive"
"Baltimore",1,"2012-07-29","2014-03-22",602,"2014-03-23","2014-03-29",7,1.2249,56.4018,0.6819,0.8666,36.3761,0.8677
"Baltimore",2,"2012-07-29","2014-03-29",609,"2014-03-30","2014-04-05",7,1.2568,59.6019,0.6448,1.0373,48.4932,0.7648
"Baltimore",3,"2012-07-29","2014-04-05",616,"2014-04-06","2014-04-12",7,0.7801,37.7819,0.8573,0.8009,30.8891,0.9046
"Baltimore",4,"2012-07-29","2014-04-12",623,"2014-04-13","2014-04-19",7,1.7702,67.2473,0.5478,2.114,74.2352,0.4489
"Baltimore",5,"2012-07-29","2014-04-19",630,"2014-04-20","2014-04-26",7,4.757,255.2765,-5.5166,2.9937,178.6481,-2.1915
"Baltimore",6,"2012-07-29","2014-04-26",637,"2014-04-27","2014-05-03",7,2.0193,85.2318,0.2736,1.7332,73.9491,0.4532
"Baltimore",7,"2012-07-29","2014-05-03",644,"2014-05-04","2014-05-10",7,1.4822,53.9112,0.7094,0.4858,21.7744,0.9526
"Baltimore",8,"2012-07-29","2014-05-10",651,"2014-05-11","2014-05-17",7,1.2828,55.7186,0.6895,0.8009,35.3891,0.8748
"Baltimore",9,"2012-07-29","2014-05-17",658,"2014-05-18","2014-05-24",7,5.8294,88.3217,0.2199,6.4601,96.474,0.0693
"Baltimore",10,"2012-07-29","2014-05-24",665,"2014-05-25","2014-05-31",7,7.1091,63.7342,0.5938,16.2421,151.3919,-1.2919
"Baltimore",11,"2012-07-29","2014-05-31",672,"2014-06-01","2014-06-07",7,1.4302,120.9609,-0.4632,10.386,1112.6191,-122.7921
"Baltimore",12,"2012-07-29","2014-06-07",679,"2014-06-08","2014-06-14",7,1.2255,72.98,0.4674,0.4333,29.1367,0.9151
"Lancaster",1,"2012-07-29","2014-03-22",602,"2014-03-23","2014-03-29",7,1.6539,94.0451,0.1156,0.6138,35.6865,0.8726
"Lancaster",2,"2012-07-29","2014-03-29",609,"2014-03-30","2014-04-05",7,1.5017,88.3602,0.2192,0.7596,49.4155,0.7558
"Lancaster",3,"2012-07-29","2014-04-05",616,"2014-04-06","2014-04-12",7,0.6262,38.7616,0.8498,0.5677,30.4884,0.907
"Lancaster",4,"2012-07-29","2014-04-12",623,"2014-04-13","2014-04-19",7,1.2098,61.2228,0.6252,1.5038,72.864,0.4691
"Lancaster",5,"2012-07-29","2014-04-19",630,"2014-04-20","2014-04-26",7,3.0081,183.9784,-2.3848,2.5242,180.3962,-2.2543
"Lancaster",6,"2012-07-29","2014-04-26",637,"2014-04-27","2014-05-03",7,2.2692,147.5255,-1.1764,1.6035,110.2477,-0.2155
"Lancaster",7,"2012-07-29","2014-05-03",644,"2014-05-04","2014-05-10",7,1.2487,69.8379,0.5123,0.3453,21.8525,0.9522
"Lancaster",8,"2012-07-29","2014-05-10",651,"2014-05-11","2014-05-17",7,1.4354,86.5942,0.2501,0.5677,35.2048,0.8761
"Lancaster",9,"2012-07-29","2014-05-17",658,"2014-05-18","2014-05-24",7,4.7312,94.1701,0.1132,4.5573,96.5617,0.0676
"Lancaster",10,"2012-07-29","2014-05-24",665,"2014-05-25","2014-05-31",7,4.2772,55.3523,0.6936,11.4393,151.3959,-1.2921
"Lancaster",11,"2012-07-29","2014-05-31",672,"2014-06-01","2014-06-07",7,1.6325,194.242,-2.773,7.3116,1118.0318,-123.9995
"Lancaster",12,"2012-07-29","2014-06-07",679,"2014-06-08","2014-06-14",7,1.258,96.8036,0.0629,0.3222,29.7688,0.9114
"Philadelphia",1,"2012-07-29","2014-03-22",602,"2014-03-23","2014-03-29",7,1.5601,43.8438,0.8078,1.2742,37.655,0.8582
"Philadelphia",2,"2012-07-29","2014-03-29",609,"2014-03-30","2014-04-05",7,1.6169,54.1883,0.7064,1.4598,47.1315,0.7779
"Philadelphia",3,"2012-07-29","2014-04-05",616,"2014-04-06","2014-04-12",7,1.1527,31.4776,0.9009,1.1898,31.3768,0.9015
"Philadelphia",4,"2012-07-29","2014-04-12",623,"2014-04-13","2014-04-19",7,3.7398,93.0293,0.1346,3.1305,74.4886,0.4451
"Philadelphia",5,"2012-07-29","2014-04-19",630,"2014-04-20","2014-04-26",7,5.4523,177.1595,-2.1385,3.7929,157.1246,-1.4688
"Philadelphia",6,"2012-07-29","2014-04-26",637,"2014-04-27","2014-05-03",7,6.1105,207.5519,-3.3078,1.9112,60.4108,0.6351
"Philadelphia",7,"2012-07-29","2014-05-03",644,"2014-05-04","2014-05-10",7,1.8874,48.3558,0.7662,0.7088,21.0769,0.9556
"Philadelphia",8,"2012-07-29","2014-05-10",651,"2014-05-11","2014-05-17",7,1.5245,59.7436,0.6431,1.2488,36.8163,0.8645
"Philadelphia",9,"2012-07-29","2014-05-17",658,"2014-05-18","2014-05-24",7,8.4868,89.1942,0.2044,9.746,96.6296,0.0663
"Philadelphia",10,"2012-07-29","2014-05-24",665,"2014-05-25","2014-05-31",7,7.8849,48.5398,0.7644,24.4452,151.4095,-1.2925
"Philadelphia",11,"2012-07-29","2014-05-31",672,"2014-06-01","2014-06-07",7,2.2999,122.3314,-0.4965,15.6274,1108.2257,-121.8164
"Philadelphia",12,"2012-07-29","2014-06-07",679,"2014-06-08","2014-06-14",7,0.9027,39.199,0.8463,0.6919,30.0007,0.91
"Richmond",1,"2012-07-29","2014-03-22",602,"2014-03-23","2014-03-29",7,0.9098,36.606,0.866,1.0307,38.5153,0.8517
"Richmond",2,"2012-07-29","2014-03-29",609,"2014-03-30","2014-04-05",7,1.9608,81.781,0.3312,1.1745,49.1481,0.7584
"Richmond",3,"2012-07-29","2014-04-05",616,"2014-04-06","2014-04-12",7,1.293,44.2009,0.8046,0.9588,31.6602,0.8998
"Richmond",4,"2012-07-29","2014-04-12",623,"2014-04-13","2014-04-19",7,1.6224,58.158,0.6618,2.4928,74.3886,0.4466
"Richmond",5,"2012-07-29","2014-04-19",630,"2014-04-20","2014-04-26",7,3.9548,178.1883,-2.1751,3.2838,172.8047,-1.9861
"Richmond",6,"2012-07-29","2014-04-26",637,"2014-04-27","2014-05-03",7,3.2035,116.8863,-0.3662,1.7977,65.0574,0.5768
"Richmond",7,"2012-07-29","2014-05-03",644,"2014-05-04","2014-05-10",7,1.6053,54.4,0.7041,0.5513,21.6081,0.9533
"Richmond",8,"2012-07-29","2014-05-10",651,"2014-05-11","2014-05-17",7,2.371,153.6847,-1.3619,1.0067,37.0227,0.8629
"Richmond",9,"2012-07-29","2014-05-17",658,"2014-05-18","2014-05-24",7,6.2924,83.2102,0.3076,7.6942,96.6746,0.0654
"Richmond",10,"2012-07-29","2014-05-24",665,"2014-05-25","2014-05-31",7,6.411,47.0042,0.7791,19.2953,151.4439,-1.2935
"Richmond",11,"2012-07-29","2014-05-31",672,"2014-06-01","2014-06-07",7,2.1965,153.0919,-1.3437,12.3442,1110.158,-122.2451
"Richmond",12,"2012-07-29","2014-06-07",679,"2014-06-08","2014-06-14",7,1.1171,51.1652,0.7382,0.5753,30.8957,0.9045
